pitch,yaw,x,y,z,state
-69.56,5.62,-520,-60,392,0
-69.81,6,-243,-217,-403,0
-80.19,13.25,233,73,-141,0
-79.5,23.31,-296,48,-501,0
-74.44,-14.31,-292,-179,-334,0
-71.37,-3.87,207,-50,-74,0
-75.5,-3.75,30,-255,-21,0
-79.12,11.5,255,-74,-348,0
-84.19,3.44,-184,78,-151,0
-84.62,-2.75,-571,-349,-285,0
-75.81,-17.94,245,-121,-188,0
-75.06,-2.62,-702,-104,-210,0
-68.69,3.81,295,-131,-705,0
-81.44,-6.06,169,-44,-239,0
-82.31,30.75,53,-17,-211,0
-80.12,-33.75,-127,-441,-169,0
-67.62,-3.87,575,-311,-291,0
-73.75,-5.12,-366,260,345,0
-73.44,4.25,-212,-563,-603,0
-82.06,-10.13,164,130,-98,0
-84.62,0,11,14,-466,0
-74.25,-38.19,-243,309,-381,0
-69.06,-7.19,454,11,-41,0
-67.37,0.75,-487,-819,-467,0
-73.12,-2.5,386,-139,-378,0
-81.69,8.75,-54,-15,-165,0
-82.44,-42.13,-533,-528,-278,0
-69.87,-19.12,398,-118,-258,0
-74.44,-6.37,-551,21,-495,0
-65.81,-1.25,47,230,-573,0
-75.31,1.12,-282,287,-327,0
-79.75,21.56,-204,55,-200,0
-78.25,-26,-423,-624,-477,0
-66.81,-4.19,477,-215,-313,0
-72.25,1.37,-288,123,542,0
-70.75,4.87,-379,-25,-520,0
-79.75,-1.31,46,235,-231,0
-81.25,16,-292,100,-467,0
-73.12,-29.69,-205,298,-492,0
-67.5,-1.44,333,76,-110,0
-67.25,2.62,-396,-731,-314,0
-69.37,3.94,531,-226,-340,0
-78.44,7,4,-12,-186,0
-79.37,-16.69,97,-173,-220,0
-68.06,-12.44,284,-150,-257,0
-71.69,-6.06,-410,-78,-386,0
-63.69,-2.94,211,-41,-415,0
-77,-19.37,-49,-35,-327,0
-82.44,-0.56,-96,-50,-153,0
-75.56,-40.69,-30,-248,-224,0
-66.87,-12.63,427,-133,-257,0
-71.81,-9.88,-218,250,541,0
-72.69,-7.5,-943,-148,-769,0
-78.31,-8.06,126,212,-221,0
-81.56,3.75,-156,-46,-509,0
-72,-33.81,-129,162,-428,0
-67.69,-2.87,205,-140,-93,0
-63.19,2.69,432,-603,139,0
-69.81,5.94,557,-345,-384,0
-79.31,17.19,-35,-128,-233,0
-81.44,-30,-612,-550,-398,0
-67.56,-12.25,321,-256,-198,0
-73.06,-2.44,-580,-136,-562,0
-66.75,1.62,100,294,-616,0
-78.37,-7.69,-4,87,-288,0
-80.75,16.5,-137,132,-338,0
-74,-36.75,-19,42,-270,0
-66.62,-9.63,529,-20,-244,0
-67.37,-3.75,-847,-84,-1301,0
-68.12,1.81,515,-440,-395,0
-78.12,-1.69,118,109,-141,0
-82.75,-23.12,-167,-271,-473,0
-70.94,-29.5,13,59,-357,0
-69.19,-7.31,-124,-69,-87,0
-61.5,-0.06,573,17,-503,0
-74.31,-7,13,24,-450,0
-80.75,15.06,-143,-268,-257,0
-79.37,-39.56,-831,-704,-535,0
-66,-10.63,453,-348,-274,0
-73.75,-7.25,-942,-160,-25,0
-66.69,-4,-326,173,-821,0
-76.31,-6.75,23,-22,-301,0
-79.87,10,-98,223,-259,0
-72.81,-32.19,-51,-71,-292,0
-63.81,-6.75,532,144,-102,0
-66.94,-3.37,-1096,-304,-1036,0
-69.12,5.19,114,-447,-511,0
-76.94,2.75,-90,168,-207,0
-79.44,-17.69,109,-49,-343,0
-68.75,-17.56,0,-124,-398,0
-65.56,2.94,-34,-19,-310,0
-60.56,11.25,683,-243,-410,0
-70.75,4.81,369,207,-360,0
-75.5,24.12,-6,-73,-277,0
-78.69,-1.62,-1023,-629,-639,0
-62.81,5.56,267,-264,-457,0
-69.56,15.56,-883,124,-45,0
-65,16.37,-105,303,-750,0
-74.56,19.19,-39,271,-355,0
-74.37,31.06,-188,154,-327,0
-70.94,-6.12,8,91,-311,0
-61.06,8.13,396,127,-264,0
-64.56,9,-169,328,-136,0
-66.94,16.44,-540,-386,-611,0
-74,12.81,106,207,-301,0
-75.94,17.56,-111,40,-512,0
-69.56,-9.63,-297,224,-465,0
-63.19,3.94,274,122,-150,0
-61,8.06,760,-316,-35,0
-67.5,8.19,286,39,-481,0
-75.62,17.44,-153,130,-245,0
-79,-4.12,-69,-139,-368,0
-65.94,-3.44,61,114,-378,0
-65.62,8.25,-180,-14,-178,0
-60.94,-1.12,210,379,-565,0
-73.19,6.62,-450,126,-557,0
-74.31,23.62,-14,112,-316,0
-74.37,-13.38,-256,-328,-309,0
-61.13,0.88,485,-36,-341,0
-66.06,5.94,-315,287,-50,0
-65.25,9,-164,-311,-556,0
-74.56,4.94,109,69,-292,0
-77.69,15.5,-343,84,-568,0
-68.94,-21.06,-21,337,-537,0
-62.94,3.44,387,78,-173,0
-62.25,8.31,-218,-688,-327,0
-65.81,6.5,637,-130,-462,0
-75.62,12.38,-12,-55,-226,0
-78.69,-17.5,-520,-378,-471,0
-65.19,-9.25,111,-408,-375,0
-68.62,2.19,-384,14,-172,0
-59.19,3.37,229,232,-550,0
-73.31,-1.19,-71,230,-448,0
-74.94,17.62,4,47,-343,0
-74,-13.56,-188,-609,-404,0
-61.06,2.31,445,-258,-400,0
-67.62,4.81,-575,105,407,0
-65.37,6.5,-554,-167,-648,0
-73.81,-3.69,103,47,-302,0
-77,7.5,-313,114,-439,0
-69.69,-23.69,-112,244,-445,0
-62.5,-1.19,383,144,-232,0
-65.25,0.5,-1052,1,-984,0
-66.19,9.81,-108,-589,-556,0
-73.87,3.12,93,238,-255,0
-77.19,-5.75,-54,-131,-479,0
-66.62,-11.69,-265,106,-489,0
-64.06,6.75,107,51,-423,0
-58.63,13.88,606,-361,-534,0
-67.12,10.38,248,394,-487,0
-73.75,19.87,-34,133,-328,0
-74.12,-14.25,-363,-469,-428,0
-60.38,-3.44,425,-249,-330,0
